IDDIST,NOMBDEP,NOMBPROV,NOMBDIST,NOM_CAPITAL (LEGAL),COD_REG_NAT,REGION NATURAL
030703,APURIMAC,GRAU,GAMARRA,PALPACACHI,2,SIERRA
030704,APURIMAC,GRAU,HUAYLLATI,HUAYLLATI,2,SIERRA
030705,APURIMAC,GRAU,MAMARA,MAMARA,2,SIERRA
030706,APURIMAC,GRAU,MICAELA BASTIDAS,AYRIHUANCA,2,SIERRA
030707,APURIMAC,GRAU,PATAYPAMPA,PATAYPAMPA,2,SIERRA
030708,APURIMAC,GRAU,PROGRESO,PROGRESO,2,SIERRA
030709,APURIMAC,GRAU,SAN ANTONIO,SAN ANTONIO,2,SIERRA
030710,APURIMAC,GRAU,SANTA ROSA,SANTA ROSA,2,SIERRA
030711,APURIMAC,GRAU,TURPAY,TURPAY,2,SIERRA
030712,APURIMAC,GRAU,VILCABAMBA,VILCABAMBA,2,SIERRA
030713,APURIMAC,GRAU,VIRUNDO,SAN JUAN DE VIRUNDO,2,SIERRA
030714,APURIMAC,GRAU,CURASCO,CURASCO,2,SIERRA
040101,AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,2,SIERRA
040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,SELVA ALEGRE,2,SIERRA
040103,AREQUIPA,AREQUIPA,CAYMA,CAYMA,2,SIERRA
040104,AREQUIPA,AREQUIPA,CERRO COLORADO,LA LIBERTAD,2,SIERRA
040105,AREQUIPA,AREQUIPA,CHARACATO,CHARACATO,2,SIERRA
040106,AREQUIPA,AREQUIPA,CHIGUATA,CHIGUATA,2,SIERRA
040107,AREQUIPA,AREQUIPA,JACOBO HUNTER,JACOBO HUNTER,2,SIERRA
040108,AREQUIPA,AREQUIPA,LA JOYA,LA JOYA,1,COSTA
040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,MARIANO MELGAR,2,SIERRA
040110,AREQUIPA,AREQUIPA,MIRAFLORES,MIRAFLORES,2,SIERRA
040111,AREQUIPA,AREQUIPA,MOLLEBAYA,MOLLEBAYA,2,SIERRA
040112,AREQUIPA,AREQUIPA,PAUCARPATA,PAUCARPATA,2,SIERRA
040113,AREQUIPA,AREQUIPA,POCSI,POCSI,2,SIERRA
040114,AREQUIPA,AREQUIPA,POLOBAYA,POLOBAYA GRANDE,2,SIERRA
040115,AREQUIPA,AREQUIPA,QUEQUEÑA,QUEQUEÑA,2,SIERRA
040116,AREQUIPA,AREQUIPA,SABANDIA,SABANDIA,2,SIERRA
040117,AREQUIPA,AREQUIPA,SACHACA,SACHACA,2,SIERRA
040118,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,TAMBILLO /2,1,COSTA
040119,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,TARUCANI,2,SIERRA
040120,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,SANTA ISABEL DE SIGUAS,1,COSTA
040121,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,SANTA RITA DE SIGUAS,1,COSTA
040122,AREQUIPA,AREQUIPA,SOCABAYA,SOCABAYA,2,SIERRA
040123,AREQUIPA,AREQUIPA,TIABAYA,TIABAYA,2,SIERRA
040124,AREQUIPA,AREQUIPA,UCHUMAYO,UCHUMAYO,1,COSTA
040125,AREQUIPA,AREQUIPA,VITOR,VITOR,1,COSTA
040126,AREQUIPA,AREQUIPA,YANAHUARA,YANAHUARA,2,SIERRA
040127,AREQUIPA,AREQUIPA,YARABAMBA,YARABAMBA,2,SIERRA
040128,AREQUIPA,AREQUIPA,YURA,YURA,2,SIERRA
040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,CIUDAD SATELITE,2,SIERRA
040201,AREQUIPA,CAMANA,CAMANA,CAMANA,1,COSTA
040202,AREQUIPA,CAMANA,JOSE MARIA QUIMPER,EL CARDO,1,COSTA
040203,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,URASQUI,1,COSTA
040204,AREQUIPA,CAMANA,MARISCAL CACERES,SAN JOSE,1,COSTA
040205,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,SAN GREGORIO,1,COSTA
040206,AREQUIPA,CAMANA,OCOÑA,OCOÑA,1,COSTA
040207,AREQUIPA,CAMANA,QUILCA,QUILCA,1,COSTA
040208,AREQUIPA,CAMANA,SAMUEL PASTOR,LA PAMPA,1,COSTA
040301,AREQUIPA,CARAVELI,CARAVELI,CARAVELI,1,COSTA
040302,AREQUIPA,CARAVELI,ACARI,ACARI,1,COSTA
040303,AREQUIPA,CARAVELI,ATICO,ATICO,1,COSTA
040304,AREQUIPA,CARAVELI,ATIQUIPA,ATIQUIPA,1,COSTA
040305,AREQUIPA,CARAVELI,BELLA UNION,BELLA UNION,1,COSTA
040306,AREQUIPA,CARAVELI,CAHUACHO,CAHUACHO,2,SIERRA
040307,AREQUIPA,CARAVELI,CHALA,CHALA,1,COSTA
040308,AREQUIPA,CARAVELI,CHAPARRA,ACHANIZO,1,COSTA
040309,AREQUIPA,CARAVELI,HUANUHUANU,TOCOTA,1,COSTA
040310,AREQUIPA,CARAVELI,JAQUI,JAQUI,1,COSTA
040311,AREQUIPA,CARAVELI,LOMAS,LOMAS,1,COSTA
040312,AREQUIPA,CARAVELI,QUICACHA,QUICACHA,1,COSTA
040313,AREQUIPA,CARAVELI,YAUCA,YAUCA,1,COSTA
040401,AREQUIPA,CASTILLA,APLAO,APLAO,1,COSTA
040402,AREQUIPA,CASTILLA,ANDAGUA,ANDAGUA,2,SIERRA
040403,AREQUIPA,CASTILLA,AYO,AYO,2,SIERRA
040404,AREQUIPA,CASTILLA,CHACHAS,CHACHAS,2,SIERRA
040405,AREQUIPA,CASTILLA,CHILCAYMARCA,CHILCAYMARCA,2,SIERRA
040406,AREQUIPA,CASTILLA,CHOCO,CHOCO,2,SIERRA
040407,AREQUIPA,CASTILLA,HUANCARQUI,HUANCARQUI,1,COSTA
040408,AREQUIPA,CASTILLA,MACHAGUAY,MACHAGUAY,2,SIERRA
040409,AREQUIPA,CASTILLA,ORCOPAMPA,ORCOPAMPA,2,SIERRA
040410,AREQUIPA,CASTILLA,PAMPACOLCA,PAMPACOLCA,2,SIERRA
040411,AREQUIPA,CASTILLA,TIPAN,TIPAN,1,COSTA
040412,AREQUIPA,CASTILLA,UÑON,UÑON,2,SIERRA
040413,AREQUIPA,CASTILLA,URACA,CORIRE,1,COSTA
040414,AREQUIPA,CASTILLA,VIRACO,VIRACO,2,SIERRA
040501,AREQUIPA,CAYLLOMA,CHIVAY,CHIVAY,2,SIERRA
040502,AREQUIPA,CAYLLOMA,ACHOMA,ACHOMA,2,SIERRA
040503,AREQUIPA,CAYLLOMA,CABANACONDE,CABANACONDE,2,SIERRA
040504,AREQUIPA,CAYLLOMA,CALLALLI,CALLALLI,2,SIERRA
040505,AREQUIPA,CAYLLOMA,CAYLLOMA,CAYLLOMA,2,SIERRA
040506,AREQUIPA,CAYLLOMA,COPORAQUE,COPORAQUE,2,SIERRA
040507,AREQUIPA,CAYLLOMA,HUAMBO,HUAMBO,2,SIERRA
040508,AREQUIPA,CAYLLOMA,HUANCA,HUANCA,2,SIERRA
040509,AREQUIPA,CAYLLOMA,ICHUPAMPA,ICHUPAMPA,2,SIERRA
040510,AREQUIPA,CAYLLOMA,LARI,LARI,2,SIERRA
040511,AREQUIPA,CAYLLOMA,LLUTA,LLUTA,2,SIERRA
040512,AREQUIPA,CAYLLOMA,MACA,MACA,2,SIERRA
040513,AREQUIPA,CAYLLOMA,MADRIGAL,MADRIGAL,2,SIERRA
040514,AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,IMATA /3,2,SIERRA
040515,AREQUIPA,CAYLLOMA,SIBAYO,SIBAYO,2,SIERRA
040516,AREQUIPA,CAYLLOMA,TAPAY,TAPAY,2,SIERRA
040517,AREQUIPA,CAYLLOMA,TISCO,TISCO,2,SIERRA
040518,AREQUIPA,CAYLLOMA,TUTI,TUTI,2,SIERRA
040519,AREQUIPA,CAYLLOMA,YANQUE,YANQUE,2,SIERRA
040520,AREQUIPA,CAYLLOMA,MAJES,EL PEDREGAL,1,COSTA
040601,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,CHUQUIBAMBA,2,SIERRA
040602,AREQUIPA,CONDESUYOS,ANDARAY,ANDARAY,2,SIERRA
040603,AREQUIPA,CONDESUYOS,CAYARANI,CAYARANI,2,SIERRA
040604,AREQUIPA,CONDESUYOS,CHICHAS,CHICHAS,2,SIERRA
040605,AREQUIPA,CONDESUYOS,IRAY,IRAY,2,SIERRA
040606,AREQUIPA,CONDESUYOS,RIO GRANDE,IQUIPI,1,COSTA
040607,AREQUIPA,CONDESUYOS,SALAMANCA,SALAMANCA,2,SIERRA
040608,AREQUIPA,CONDESUYOS,YANAQUIHUA,YANAQUIHUA,2,SIERRA
040701,AREQUIPA,ISLAY,MOLLENDO,MOLLENDO,1,COSTA
040702,AREQUIPA,ISLAY,COCACHACRA,COCACHACRA,1,COSTA
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,LA CURVA,1,COSTA
040704,AREQUIPA,ISLAY,ISLAY,ISLAY (MATARANI),1,COSTA
040705,AREQUIPA,ISLAY,MEJIA,MEJIA,1,COSTA
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,PUNTA DE BOMBON,1,COSTA
040801,AREQUIPA,LA UNION,COTAHUASI,COTAHUASI,2,SIERRA
040802,AREQUIPA,LA UNION,ALCA,ALCA,2,SIERRA
040803,AREQUIPA,LA UNION,CHARCANA,CHARCANA,2,SIERRA
040804,AREQUIPA,LA UNION,HUAYNACOTAS,TAURISMA,2,SIERRA
040805,AREQUIPA,LA UNION,PAMPAMARCA,MUNGUI,2,SIERRA
040806,AREQUIPA,LA UNION,PUYCA,PUYCA,2,SIERRA
040807,AREQUIPA,LA UNION,QUECHUALLA,VELINGA,1,COSTA
040808,AREQUIPA,LA UNION,SAYLA,SAYLA,2,SIERRA
040809,AREQUIPA,LA UNION,TAURIA,TAURIA,2,SIERRA
040810,AREQUIPA,LA UNION,TOMEPAMPA,TOMEPAMPA,2,SIERRA
040811,AREQUIPA,LA UNION,TORO,TORO,2,SIERRA
050101,AYACUCHO,HUAMANGA,AYACUCHO,AYACUCHO,2,SIERRA
050102,AYACUCHO,HUAMANGA,ACOCRO,ACOCRO,2,SIERRA
050103,AYACUCHO,HUAMANGA,ACOS VINCHOS,ACOS VINCHOS,2,SIERRA
050104,AYACUCHO,HUAMANGA,CARMEN ALTO,CARMEN ALTO,2,SIERRA
050105,AYACUCHO,HUAMANGA,CHIARA,CHIARA,2,SIERRA
050106,AYACUCHO,HUAMANGA,OCROS,OCROS,2,SIERRA
050107,AYACUCHO,HUAMANGA,PACAYCASA,PACAYCASA,2,SIERRA
050108,AYACUCHO,HUAMANGA,QUINUA,QUINUA,2,SIERRA
050109,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,TICLLAS,2,SIERRA
050110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,SAN JUAN BAUTISTA,2,SIERRA
050111,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,SAN PEDRO DE CACHI,2,SIERRA
050112,AYACUCHO,HUAMANGA,SOCOS,SOCOS,2,SIERRA
050113,AYACUCHO,HUAMANGA,TAMBILLO,TAMBILLO,2,SIERRA
050114,AYACUCHO,HUAMANGA,VINCHOS,VINCHOS,2,SIERRA
050115,AYACUCHO,HUAMANGA,JESUS NAZARENO,LAS NAZARENAS,2,SIERRA
050116,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,JARDÍN,2,SIERRA
050201,AYACUCHO,CANGALLO,CANGALLO,CANGALLO,2,SIERRA
050202,AYACUCHO,CANGALLO,CHUSCHI,CHUSCHI,2,SIERRA
050203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,PAMPA-CANGALLO,2,SIERRA
050204,AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,POMABAMBA,2,SIERRA
050205,AYACUCHO,CANGALLO,PARAS,PARAS,2,SIERRA
050206,AYACUCHO,CANGALLO,TOTOS,TOTOS,2,SIERRA
050301,AYACUCHO,HUANCA SANCOS,SANCOS,HUANCA SANCOS,2,SIERRA
050302,AYACUCHO,HUANCA SANCOS,CARAPO,CARAPO,2,SIERRA
050303,AYACUCHO,HUANCA SANCOS,SACSAMARCA,SACSAMARCA,2,SIERRA
050304,AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,SANTIAGO DE LUCANAMARCA,2,SIERRA
050401,AYACUCHO,HUANTA,HUANTA,HUANTA,2,SIERRA
050402,AYACUCHO,HUANTA,AYAHUANCO,VIRACOCHAN,2,SIERRA
050403,AYACUCHO,HUANTA,HUAMANGUILLA,HUAMANGUILLA,2,SIERRA
050404,AYACUCHO,HUANTA,IGUAIN,MACACHACRA,2,SIERRA
050405,AYACUCHO,HUANTA,LURICOCHA,LURICOCHA,2,SIERRA
050406,AYACUCHO,HUANTA,SANTILLANA,SAN JOSE DE SECCE,2,SIERRA
050407,AYACUCHO,HUANTA,SIVIA,SIVIA,3,SELVA ALTA
050408,AYACUCHO,HUANTA,LLOCHEGUA,LLOCHEGUA,3,SELVA ALTA
050409,AYACUCHO,HUANTA,CANAYRE,CANAYRE,3,SELVA ALTA
050410,AYACUCHO,HUANTA,UCHURACCAY,HUAYNACANCHA,2,SIERRA
050411,AYACUCHO,HUANTA,PUCACOLPA,HUALLHUA,2,SIERRA
050412,AYACUCHO,HUANTA,CHACA,CHACA,2,SIERRA
050413,AYACUCHO,HUANTA,PUTIS,RODEO,2,SIERRA
050501,AYACUCHO,LA MAR,SAN MIGUEL,SAN MIGUEL,2,SIERRA
050502,AYACUCHO,LA MAR,ANCO,CHIQUINTIRCA,2,SIERRA
050503,AYACUCHO,LA MAR,AYNA,SAN FRANCISCO,3,SELVA ALTA
050504,AYACUCHO,LA MAR,CHILCAS,CHILCAS,2,SIERRA
050505,AYACUCHO,LA MAR,CHUNGUI,CHUNGUI,2,SIERRA
050506,AYACUCHO,LA MAR,LUIS CARRANZA,PAMPAS,2,SIERRA
050507,AYACUCHO,LA MAR,SANTA ROSA,SANTA ROSA,3,SELVA ALTA
050508,AYACUCHO,LA MAR,TAMBO,TAMBO,2,SIERRA
050509,AYACUCHO,LA MAR,SAMUGARI,PALMAPAMPA,3,SELVA ALTA
050510,AYACUCHO,LA MAR,ANCHIHUAY,ANCHIHUAY,3,SELVA ALTA
050511,AYACUCHO,LA MAR,ORONCCOY,ORONCCOY,2,SIERRA
050512,AYACUCHO,LA MAR,UNION PROGRESO,SAN ANTONIO,3,SELVA ALTA
050513,AYACUCHO,LA MAR,RIO MAGDALENA,MONTERRICO,3,SELVA ALTA
050514,AYACUCHO,LA MAR,NINABAMBA,NINABAMBA,2,SIERRA
050515,AYACUCHO,LA MAR,PATIBAMBA,PATIBAMBA,2,SIERRA
050601,AYACUCHO,LUCANAS,PUQUIO,PUQUIO,2,SIERRA
050602,AYACUCHO,LUCANAS,AUCARA,AUCARA,2,SIERRA
050603,AYACUCHO,LUCANAS,CABANA,CABANA,2,SIERRA
050604,AYACUCHO,LUCANAS,CARMEN SALCEDO,ANDAMARCA,2,SIERRA
050605,AYACUCHO,LUCANAS,CHAVIÑA,CHAVIÑA,2,SIERRA
050606,AYACUCHO,LUCANAS,CHIPAO,CHIPAO,2,SIERRA
050607,AYACUCHO,LUCANAS,HUAC-HUAS,HUAC-HUAS,2,SIERRA
050608,AYACUCHO,LUCANAS,LARAMATE,LARAMATE,2,SIERRA
050609,AYACUCHO,LUCANAS,LEONCIO PRADO,TAMBO QUEMADO,2,SIERRA
050610,AYACUCHO,LUCANAS,LLAUTA,LLAUTA,2,SIERRA
050611,AYACUCHO,LUCANAS,LUCANAS,LUCANAS,2,SIERRA
050612,AYACUCHO,LUCANAS,OCAÑA,OCAÑA,2,SIERRA
050613,AYACUCHO,LUCANAS,OTOCA,OTOCA,1,COSTA
050614,AYACUCHO,LUCANAS,SAISA,SAISA,2,SIERRA
050615,AYACUCHO,LUCANAS,SAN CRISTOBAL,SAN CRISTOBAL,2,SIERRA
050616,AYACUCHO,LUCANAS,SAN JUAN,SAN JUAN,2,SIERRA
050617,AYACUCHO,LUCANAS,SAN PEDRO,SAN PEDRO,2,SIERRA
050618,AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,SAN PEDRO DE PALCO,2,SIERRA
050619,AYACUCHO,LUCANAS,SANCOS,SANCOS,2,SIERRA
050620,AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO,SANTA ANA DE HUAYCAHUACHO,2,SIERRA
050621,AYACUCHO,LUCANAS,SANTA LUCIA,SANTA LUCIA,2,SIERRA
050701,AYACUCHO,PARINACOCHAS,CORACORA,CORACORA,2,SIERRA
050702,AYACUCHO,PARINACOCHAS,CHUMPI,CHUMPI,2,SIERRA
050703,AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA,ANISO,2,SIERRA
050704,AYACUCHO,PARINACOCHAS,PACAPAUSA,PACAPAUSA,2,SIERRA
050705,AYACUCHO,PARINACOCHAS,PULLO,PULLO,2,SIERRA
050706,AYACUCHO,PARINACOCHAS,PUYUSCA,INCUYO,2,SIERRA
050707,AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RIVACAYCO,SAN FRANCISCO DE RIVACAYCO,2,SIERRA
050708,AYACUCHO,PARINACOCHAS,UPAHUACHO,UPAHUACHO,2,SIERRA
050801,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,PAUSA,2,SIERRA
050802,AYACUCHO,PAUCAR DEL SARA SARA,COLTA,COLTA,2,SIERRA
050803,AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,CORCULLA,2,SIERRA
050804,AYACUCHO,PAUCAR DEL SARA SARA,LAMPA,LAMPA,2,SIERRA
050805,AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,MARCABAMBA,2,SIERRA
050806,AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,OYOLO,2,SIERRA
050807,AYACUCHO,PAUCAR DEL SARA SARA,PARARCA,PARARCA,2,SIERRA
050808,AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,SAN JAVIER DE ALPABAMBA,2,SIERRA
050809,AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA,SAN JOSE DE USHUA,2,SIERRA
050810,AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA,QUILCATA,2,SIERRA
050901,AYACUCHO,SUCRE,QUEROBAMBA,QUEROBAMBA,2,SIERRA
050902,AYACUCHO,SUCRE,BELEN,BELEN,2,SIERRA
050903,AYACUCHO,SUCRE,CHALCOS,CHALCOS,2,SIERRA
050904,AYACUCHO,SUCRE,CHILCAYOC,CHILCAYOC,2,SIERRA
050905,AYACUCHO,SUCRE,HUACAÑA,HUACAÑA,2,SIERRA
050906,AYACUCHO,SUCRE,MORCOLLA,MORCOLLA,2,SIERRA
050907,AYACUCHO,SUCRE,PAICO,PAICO,2,SIERRA
050908,AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,SAN PEDRO DE LARCAY,2,SIERRA
050909,AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,SAN SALVADOR DE QUIJE,2,SIERRA
050910,AYACUCHO,SUCRE,SANTIAGO DE PAUCARAY,SANTIAGO DE PAUCARAY,2,SIERRA
050911,AYACUCHO,SUCRE,SORAS,SORAS,2,SIERRA
051001,AYACUCHO,VICTOR FAJARDO,HUANCAPI,HUANCAPI,2,SIERRA
051002,AYACUCHO,VICTOR FAJARDO,ALCAMENCA,ALCAMENCA,2,SIERRA
051003,AYACUCHO,VICTOR FAJARDO,APONGO,APONGO,2,SIERRA
051004,AYACUCHO,VICTOR FAJARDO,ASQUIPATA,ASQUIPATA,2,SIERRA
051005,AYACUCHO,VICTOR FAJARDO,CANARIA,CANARIA,2,SIERRA
051006,AYACUCHO,VICTOR FAJARDO,CAYARA,CAYARA,2,SIERRA
051007,AYACUCHO,VICTOR FAJARDO,COLCA,COLCA,2,SIERRA
051008,AYACUCHO,VICTOR FAJARDO,HUAMANQUIQUIA,HUAMANQUIQUIA,2,SIERRA
051009,AYACUCHO,VICTOR FAJARDO,HUANCARAYLLA,HUANCARAYLLA,2,SIERRA
051010,AYACUCHO,VICTOR FAJARDO,HUALLA,SAN PEDRO DE HUAYA,2,SIERRA
051011,AYACUCHO,VICTOR FAJARDO,SARHUA,SARHUA,2,SIERRA
051012,AYACUCHO,VICTOR FAJARDO,VILCANCHOS,VILCANCHOS,2,SIERRA
051101,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,VILCAS HUAMAN,2,SIERRA
051102,AYACUCHO,VILCAS HUAMAN,ACCOMARCA,ACCOMARCA,2,SIERRA
051103,AYACUCHO,VILCAS HUAMAN,CARHUANCA,CARHUANCA,2,SIERRA
051104,AYACUCHO,VILCAS HUAMAN,CONCEPCION,CONCEPCION,2,SIERRA
051105,AYACUCHO,VILCAS HUAMAN,HUAMBALPA,HUAMBALPA,2,SIERRA
051106,AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,NUEVO PACCHA HUALLHUA /4,2,SIERRA
051107,AYACUCHO,VILCAS HUAMAN,SAURAMA,SAURAMA,2,SIERRA
051108,AYACUCHO,VILCAS HUAMAN,VISCHONGO,VISCHONGO,2,SIERRA
060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,CAJAMARCA,2,SIERRA
060102,CAJAMARCA,CAJAMARCA,ASUNCION,ASUNCION,2,SIERRA
060103,CAJAMARCA,CAJAMARCA,CHETILLA,CHETILLA,2,SIERRA
060104,CAJAMARCA,CAJAMARCA,COSPAN,COSPAN,2,SIERRA
060105,CAJAMARCA,CAJAMARCA,ENCAÑADA,ENCAÑADA,2,SIERRA
060106,CAJAMARCA,CAJAMARCA,JESUS,JESUS,2,SIERRA
060107,CAJAMARCA,CAJAMARCA,LLACANORA,LLACANORA,2,SIERRA
060108,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,LOS BAÑOS DEL INCA,2,SIERRA
060109,CAJAMARCA,CAJAMARCA,MAGDALENA,MAGDALENA,1,COSTA
060110,CAJAMARCA,CAJAMARCA,MATARA,MATARA,2,SIERRA
060111,CAJAMARCA,CAJAMARCA,NAMORA,NAMORA,2,SIERRA
060112,CAJAMARCA,CAJAMARCA,SAN JUAN,SAN JUAN,2,SIERRA
060201,CAJAMARCA,CAJABAMBA,CAJABAMBA,CAJABAMBA,2,SIERRA
060202,CAJAMARCA,CAJABAMBA,CACHACHI,CACHACHI,2,SIERRA
060203,CAJAMARCA,CAJABAMBA,CONDEBAMBA,CAUDAY,2,SIERRA
060204,CAJAMARCA,CAJABAMBA,SITACOCHA,LLUCHUBAMBA,2,SIERRA
060301,CAJAMARCA,CELENDIN,CELENDIN,CELENDIN,2,SIERRA
060302,CAJAMARCA,CELENDIN,CHUMUCH,CHUMUCH,2,SIERRA
060303,CAJAMARCA,CELENDIN,CORTEGANA,CHIMUCH (CORTEGANA),2,SIERRA
060304,CAJAMARCA,CELENDIN,HUASMIN,HUASMIN,2,SIERRA
060305,CAJAMARCA,CELENDIN,JORGE CHAVEZ,LUCMAPAMPA,2,SIERRA
060306,CAJAMARCA,CELENDIN,JOSE GALVEZ,HUACAPAMPA,2,SIERRA
060307,CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,CHALAN,2,SIERRA
060308,CAJAMARCA,CELENDIN,OXAMARCA,OXAMARCA,2,SIERRA
060309,CAJAMARCA,CELENDIN,SOROCHUCO,SOROCHUCO,2,SIERRA
060310,CAJAMARCA,CELENDIN,SUCRE,SUCRE,2,SIERRA
060311,CAJAMARCA,CELENDIN,UTCO,UTCO,2,SIERRA
060312,CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,LA LIBERTAD DE PALLAN,2,SIERRA
060401,CAJAMARCA,CHOTA,CHOTA,CHOTA,2,SIERRA
060402,CAJAMARCA,CHOTA,ANGUIA,ANGUIA,2,SIERRA
060403,CAJAMARCA,CHOTA,CHADIN,CHADIN,2,SIERRA
060404,CAJAMARCA,CHOTA,CHIGUIRIP,CHIGUIRIP,2,SIERRA
060405,CAJAMARCA,CHOTA,CHIMBAN,CHIMBAN,3,SELVA ALTA
060406,CAJAMARCA,CHOTA,CHOROPAMPA,CHOROPAMPA,2,SIERRA
060407,CAJAMARCA,CHOTA,COCHABAMBA,COCHABAMBA,3,SELVA ALTA
060408,CAJAMARCA,CHOTA,CONCHAN,CONCHAN,2,SIERRA
060409,CAJAMARCA,CHOTA,HUAMBOS,HUAMBOS,2,SIERRA
060410,CAJAMARCA,CHOTA,LAJAS,LAJAS,2,SIERRA
060411,CAJAMARCA,CHOTA,LLAMA,LLAMA,2,SIERRA
060412,CAJAMARCA,CHOTA,MIRACOSTA,MIRACOSTA,2,SIERRA
060413,CAJAMARCA,CHOTA,PACCHA,PACCHA,2,SIERRA
060414,CAJAMARCA,CHOTA,PION,PION,3,SELVA ALTA
060415,CAJAMARCA,CHOTA,QUEROCOTO,QUEROCOTO,2,SIERRA
060416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,LICUPIS,2,SIERRA
060417,CAJAMARCA,CHOTA,TACABAMBA,TACABAMBA,2,SIERRA
060418,CAJAMARCA,CHOTA,TOCMOCHE,TOCMOCHE,1,COSTA
060419,CAJAMARCA,CHOTA,CHALAMARCA,CHALAMARCA,2,SIERRA
060501,CAJAMARCA,CONTUMAZA,CONTUMAZA,CONTUMAZA,2,SIERRA
060502,CAJAMARCA,CONTUMAZA,CHILETE,CHILETE,1,COSTA
060503,CAJAMARCA,CONTUMAZA,CUPISNIQUE,TRINIDAD,1,COSTA
060504,CAJAMARCA,CONTUMAZA,GUZMANGO,GUZMANGO,2,SIERRA
060505,CAJAMARCA,CONTUMAZA,SAN BENITO,SAN BENITO,1,COSTA
060506,CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLED,SANTA CRUZ DE TOLED,2,SIERRA
060507,CAJAMARCA,CONTUMAZA,TANTARICA,CATAN,2,SIERRA
060508,CAJAMARCA,CONTUMAZA,YONAN,TEMBLADERA,1,COSTA
060601,CAJAMARCA,CUTERVO,CUTERVO,CUTERVO,2,SIERRA
060602,CAJAMARCA,CUTERVO,CALLAYUC,CALLAYUC,3,SELVA ALTA
060603,CAJAMARCA,CUTERVO,CHOROS,CHOROS,4,SELVA BAJA
060604,CAJAMARCA,CUTERVO,CUJILLO,CUJILLO,3,SELVA ALTA
060605,CAJAMARCA,CUTERVO,LA RAMADA,LA RAMADA,2,SIERRA
060606,CAJAMARCA,CUTERVO,PIMPINGOS,PIMPINGOS,3,SELVA ALTA
060607,CAJAMARCA,CUTERVO,QUEROCOTILLO,QUEROCOTILLO,2,SIERRA
060608,CAJAMARCA,CUTERVO,SAN ANDRES DE CUTERVO,SAN ANDRES DE CUTERVO,2,SIERRA
060609,CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,SAN JUAN DE CUTERVO,3,SELVA ALTA
060610,CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,SAN LUIS DE LUCMA,3,SELVA ALTA
060611,CAJAMARCA,CUTERVO,SANTA CRUZ,SANTA CRUZ,3,SELVA ALTA
060612,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,SANTO DOMINGO DE LA CAPILLA,3,SELVA ALTA
060613,CAJAMARCA,CUTERVO,SANTO TOMAS,SANTO TOMAS,2,SIERRA
060614,CAJAMARCA,CUTERVO,SOCOTA,SOCOTA,3,SELVA ALTA
060615,CAJAMARCA,CUTERVO,TORIBIO CASANOVA,LA SACILIA,3,SELVA ALTA
