cod_pedido,cod_representante,cod_empleado,cod_pedido_tipo,cod_pedido_estado,fecha_registro,cod_ticket
2075,216,69,V,P,2023-06-17,2075
2076,502,499,A,A,2020-06-02,2076
2077,337,274,V,R,2024-05-21,2077
2078,259,479,A,F,2022-10-10,2078
2079,97,26,A,P,2021-04-01,2079
2080,352,253,A,F,2021-12-30,2080
2081,427,15,A,A,2019-05-06,2081
2082,332,84,A,A,2022-03-03,2082
2083,249,166,V,R,2019-10-18,2083
2084,115,154,A,F,2023-10-10,2084
2085,76,366,A,A,2021-09-14,2085
2086,240,415,A,R,2021-11-25,2086
2087,30,380,V,R,2019-02-18,2087
2088,478,124,A,A,2020-09-19,2088
2089,548,391,V,F,2021-07-18,2089
2090,405,97,V,R,2023-12-14,2090
2091,375,423,A,R,2020-07-02,2091
2092,4,183,A,P,2021-01-02,2092
2093,594,469,A,R,2022-07-10,2093
2094,456,214,A,A,2019-07-25,2094
2095,220,279,V,A,2019-06-18,2095
2096,72,145,A,P,2022-09-08,2096
2097,175,455,A,A,2023-06-20,2097
2098,355,183,V,P,2020-05-09,2098
2099,448,392,A,F,2022-10-01,2099
2100,311,99,A,A,2021-11-18,2100
2101,311,20,A,R,2019-01-17,2101
2102,198,312,V,F,2021-07-15,2102
2103,2,210,V,R,2019-01-15,2103
2104,44,171,A,A,2022-12-16,2104
2105,49,284,V,F,2021-06-24,2105
2106,486,256,V,A,2019-09-07,2106
2107,74,324,A,F,2021-03-03,2107
2108,618,411,A,A,2019-04-14,2108
2109,498,299,A,P,2024-03-19,2109
2110,10,339,V,F,2021-09-01,2110
2111,41,327,V,F,2019-11-07,2111
2112,295,68,V,R,2023-10-12,2112
2113,81,148,A,A,2024-05-18,2113
2114,130,370,V,R,2022-10-07,2114
2115,551,414,A,A,2020-06-24,2115
2116,150,396,A,F,2022-06-14,2116
2117,262,283,V,A,2020-03-08,2117
2118,89,332,A,R,2020-04-02,2118
2119,147,380,A,A,2020-04-15,2119
2120,302,202,V,A,2023-09-14,2120
2121,511,416,V,A,2023-10-09,2121
2122,8,373,V,F,2020-05-14,2122
2123,410,440,V,P,2022-02-02,2123
2124,24,414,A,A,2021-04-16,2124
2125,128,441,V,F,2023-12-20,2125
2126,426,229,V,R,2021-09-19,2126
2127,609,36,A,R,2022-07-05,2127
2128,212,336,V,P,2019-11-21,2128
2129,206,416,A,P,2019-05-03,2129
2130,501,285,V,F,2019-05-29,2130
2131,431,54,A,P,2019-12-18,2131
2132,197,333,A,A,2021-12-10,2132
2133,42,73,V,P,2022-05-20,2133
2134,296,255,V,R,2019-10-18,2134
2135,394,137,V,A,2019-03-03,2135
2136,385,162,A,A,2019-04-18,2136
2137,439,151,A,R,2022-02-25,2137
2138,168,499,A,R,2022-03-15,2138
2139,86,396,V,R,2023-11-22,2139
2140,72,304,V,A,2022-01-15,2140
2141,176,129,A,R,2023-11-09,2141
2142,610,341,V,R,2022-12-15,2142
2143,79,400,V,R,2024-03-03,2143
2144,447,433,A,P,2023-04-05,2144
2145,405,352,V,R,2024-03-10,2145
2146,132,491,V,F,2022-04-14,2146
2147,560,48,A,P,2023-01-31,2147
2148,20,42,A,R,2023-07-16,2148
2149,385,106,V,F,2020-05-04,2149
2150,572,207,A,R,2020-10-03,2150
2151,175,483,A,A,2019-04-12,2151
2152,240,336,V,F,2023-02-27,2152
2153,267,159,V,F,2023-07-07,2153
2154,48,499,A,P,2024-05-05,2154
2155,465,422,V,A,2019-02-18,2155
2156,413,218,V,F,2019-06-09,2156
2157,412,395,A,F,2020-05-11,2157
2158,296,273,A,P,2022-10-31,2158
2159,494,387,A,A,2022-02-24,2159
2160,357,37,V,F,2020-08-31,2160
2161,73,214,V,R,2024-03-06,2161
2162,361,283,V,A,2023-03-03,2162
2163,106,312,V,R,2019-10-03,2163
2164,348,416,V,F,2019-04-15,2164
2165,39,49,A,F,2019-01-06,2165
2166,42,20,V,A,2021-03-18,2166
2167,507,396,A,A,2024-02-27,2167
2168,602,469,A,P,2020-03-02,2168
2169,230,495,V,P,2020-03-07,2169
2170,86,67,V,A,2022-12-03,2170
2171,10,336,A,P,2021-11-21,2171
2172,130,371,A,A,2021-11-13,2172
2173,241,411,A,R,2019-08-13,2173
2174,395,269,V,R,2022-02-15,2174
2175,382,95,V,A,2020-01-09,2175
2176,369,173,A,R,2020-07-04,2176
2177,213,274,A,R,2023-08-18,2177
2178,325,321,A,R,2022-10-11,2178
2179,39,460,V,F,2023-11-18,2179
2180,561,124,A,F,2024-03-29,2180
2181,464,365,A,A,2023-02-22,2181
2182,33,246,V,A,2019-01-30,2182
2183,489,360,A,P,2023-12-25,2183
2184,191,270,A,R,2024-01-04,2184
2185,488,154,V,P,2022-03-06,2185
2186,377,386,V,A,2019-12-27,2186
2187,367,342,V,P,2023-01-21,2187
2188,181,219,V,R,2021-11-05,2188
2189,595,499,V,R,2022-07-19,2189
2190,537,312,A,A,2019-08-03,2190
2191,314,218,A,P,2019-07-07,2191
2192,541,190,V,F,2023-02-09,2192
2193,61,353,V,R,2022-04-01,2193
2194,112,354,V,F,2024-01-22,2194
2195,47,367,V,P,2021-09-24,2195
2196,355,267,V,P,2021-09-22,2196
2197,600,178,A,R,2022-04-19,2197
2198,197,102,V,P,2024-04-08,2198
2199,121,130,V,A,2023-01-21,2199
2200,255,41,V,A,2019-05-07,2200
2201,216,454,A,P,2019-06-02,2201
2202,343,93,A,A,2019-07-07,2202
2203,508,2,V,A,2022-09-14,2203
2204,155,274,A,R,2021-11-26,2204
2205,477,338,A,F,2020-07-08,2205
2206,12,484,A,A,2024-04-08,2206
2207,44,429,V,P,2020-08-04,2207
2208,18,115,V,P,2023-03-30,2208
2209,391,361,A,R,2022-11-13,2209
2210,20,2,V,R,2023-01-22,2210
2211,482,329,A,R,2022-07-11,2211
2212,337,325,A,P,2019-09-21,2212
2213,199,189,V,P,2024-01-17,2213
2214,98,185,A,F,2024-01-25,2214
2215,472,179,V,P,2021-10-11,2215
2216,28,492,V,F,2022-11-17,2216
2217,74,207,A,P,2023-07-28,2217
2218,214,355,V,R,2021-09-25,2218
2219,573,466,A,A,2019-12-31,2219
2220,552,29,V,R,2023-03-25,2220
2221,282,457,V,A,2019-05-23,2221
2222,440,287,A,A,2023-12-22,2222
2223,552,275,A,R,2023-11-17,2223
2224,487,16,A,A,2020-08-23,2224
2225,491,138,A,R,2019-05-31,2225
2226,548,350,V,A,2024-04-13,2226
2227,252,84,V,A,2022-03-18,2227
2228,588,124,A,F,2021-03-21,2228
2229,419,165,V,P,2024-04-01,2229
2230,207,383,A,R,2020-01-20,2230
2231,267,13,A,R,2019-05-20,2231
2232,397,167,V,R,2020-08-28,2232
2233,130,285,V,R,2022-03-05,2233
2234,400,378,V,R,2021-04-19,2234
2235,142,232,A,A,2022-11-24,2235
2236,157,474,V,R,2019-12-17,2236
2237,414,247,V,A,2024-03-06,2237
2238,573,301,V,R,2022-05-29,2238
2239,487,265,A,R,2020-02-07,2239
2240,477,350,V,P,2019-05-16,2240
2241,302,492,A,R,2020-07-26,2241
2242,4,337,V,R,2020-07-26,2242
2243,474,178,A,F,2019-12-01,2243
2244,505,491,V,A,2020-11-08,2244
2245,204,226,A,A,2023-10-05,2245
2246,87,271,A,R,2020-12-24,2246
2247,593,12,V,R,2019-12-06,2247
2248,143,17,V,A,2021-09-19,2248
2249,385,332,A,F,2022-02-10,2249
2250,496,463,A,A,2023-11-09,2250
2251,309,230,A,F,2022-11-22,2251
2252,172,15,A,P,2019-01-05,2252
2253,264,448,A,A,2023-05-31,2253
2254,27,99,V,A,2020-03-11,2254
2255,488,181,A,F,2022-01-09,2255
2256,306,84,V,P,2021-02-14,2256
2257,540,438,V,A,2021-11-06,2257
2258,338,54,V,R,2022-10-01,2258
2259,179,305,A,R,2022-04-09,2259
2260,469,276,V,P,2024-01-06,2260
2261,297,42,V,R,2023-06-05,2261
2262,231,157,A,F,2019-07-03,2262
2263,573,493,A,F,2020-08-25,2263
2264,308,175,A,A,2019-07-07,2264
2265,52,415,V,R,2019-08-30,2265
2266,497,361,V,P,2023-08-19,2266
2267,555,43,V,P,2023-09-26,2267
2268,97,495,V,P,2020-02-27,2268
2269,134,176,V,A,2019-08-04,2269
2270,559,417,A,R,2019-05-20,2270
2271,145,274,V,F,2022-07-14,2271
2272,127,364,V,F,2019-02-04,2272
2273,485,276,A,F,2023-08-29,2273
2274,115,272,A,A,2023-04-09,2274
2275,252,234,A,R,2022-10-06,2275
2276,180,231,A,A,2019-10-04,2276
2277,80,492,V,P,2021-05-02,2277
2278,31,142,V,F,2020-03-04,2278
2279,128,165,V,A,2024-01-06,2279
2280,568,178,V,R,2022-07-01,2280
2281,320,258,V,F,2019-12-27,2281
2282,411,123,A,F,2023-06-18,2282
2283,487,147,V,P,2019-08-05,2283
2284,67,1,V,F,2019-11-27,2284
2285,396,380,A,P,2020-08-19,2285
2286,118,99,A,R,2024-05-28,2286
2287,549,280,V,A,2022-05-24,2287
2288,306,287,V,F,2020-02-22,2288
2289,171,125,V,A,2022-07-10,2289
2290,105,428,V,A,2021-04-29,2290
2291,351,418,V,A,2020-06-22,2291
2292,526,251,A,P,2019-02-08,2292
2293,75,135,V,A,2021-03-15,2293
2294,386,413,V,F,2021-01-24,2294
2295,283,499,V,P,2022-03-06,2295
2296,254,8,A,R,2019-02-18,2296
2297,150,270,A,R,2022-06-12,2297
2298,94,420,V,A,2020-05-25,2298
2299,47,22,A,R,2021-06-28,2299
2300,155,447,V,A,2023-11-14,2300
2301,233,377,A,R,2021-06-24,2301
2302,16,86,A,F,2022-01-28,2302
2303,499,322,A,A,2022-11-09,2303
2304,42,477,A,P,2023-01-22,2304
2305,513,290,V,P,2020-02-26,2305
2306,513,232,V,F,2023-07-04,2306
2307,483,190,A,A,2020-07-01,2307
2308,287,120,A,F,2021-01-23,2308
2309,70,406,V,R,2019-11-09,2309
2310,236,151,A,F,2022-07-09,2310
2311,84,227,V,R,2021-10-11,2311
2312,405,500,V,R,2023-09-23,2312
2313,254,350,V,P,2020-07-09,2313
2314,391,414,V,F,2019-06-01,2314
2315,102,227,A,R,2021-08-03,2315
2316,581,193,A,P,2019-07-12,2316
2317,375,41,V,F,2020-02-20,2317
2318,256,399,A,P,2019-03-17,2318
2319,102,328,V,A,2019-01-19,2319
2320,531,12,V,A,2019-11-03,2320
2321,413,124,A,A,2022-10-04,2321
2322,252,66,V,A,2021-11-27,2322
2323,591,265,A,A,2020-12-12,2323
2324,429,7,A,P,2023-07-01,2324
2325,455,101,A,R,2021-10-04,2325
2326,155,120,V,P,2019-07-02,2326
2327,11,75,A,F,2022-09-05,2327
2328,290,163,V,R,2022-06-14,2328
2329,36,142,A,P,2021-11-27,2329
2330,93,152,A,A,2021-04-27,2330
2331,55,334,A,F,2023-02-07,2331
2332,413,478,V,R,2021-07-17,2332
2333,440,404,A,P,2022-03-20,2333
2334,197,121,A,R,2019-01-26,2334
2335,325,396,A,R,2021-10-29,2335
2336,71,363,V,F,2021-12-26,2336
2337,594,360,A,F,2020-09-16,2337
2338,143,179,A,F,2022-07-12,2338
2339,433,490,A,R,2022-09-26,2339
2340,576,190,A,P,2021-12-26,2340
2341,38,254,V,R,2021-06-05,2341
2342,415,498,A,R,2023-10-01,2342
2343,95,19,A,P,2019-10-22,2343
2344,457,226,A,A,2024-01-13,2344
2345,253,339,V,P,2023-06-09,2345
2346,496,478,A,A,2020-03-17,2346
2347,150,351,A,F,2024-03-01,2347
2348,102,212,A,P,2022-08-21,2348
2349,313,243,V,A,2022-02-26,2349
2350,248,22,V,A,2023-01-29,2350
2351,21,483,A,R,2019-11-15,2351
2352,385,40,V,P,2022-02-05,2352
2353,124,393,V,P,2023-03-10,2353
2354,309,40,A,R,2023-10-18,2354
2355,230,55,V,F,2020-05-23,2355
2356,438,232,V,F,2022-11-09,2356
2357,391,411,V,P,2020-12-03,2357
2358,479,204,V,P,2021-04-18,2358
2359,561,190,A,P,2020-06-11,2359
2360,594,289,A,P,2023-08-19,2360
2361,291,196,V,F,2022-04-22,2361
2362,527,89,V,P,2023-06-03,2362
2363,390,174,V,F,2020-12-23,2363
2364,390,281,A,A,2020-02-03,2364
2365,339,223,A,R,2022-04-25,2365
2366,593,205,V,P,2021-12-30,2366
2367,532,55,V,F,2023-05-17,2367
2368,78,500,A,A,2019-04-20,2368
2369,38,304,A,R,2023-02-19,2369
2370,186,232,V,A,2020-03-08,2370
2371,73,49,V,P,2023-10-22,2371
2372,537,359,V,A,2024-05-05,2372
2373,170,44,A,P,2022-08-31,2373
2374,131,218,A,F,2023-06-14,2374
2375,481,257,V,P,2020-09-29,2375
2376,424,57,V,A,2023-08-10,2376
2377,455,414,A,A,2020-11-29,2377
2378,203,31,A,F,2023-08-24,2378
2379,420,410,V,R,2023-01-05,2379
2380,328,27,A,F,2021-03-31,2380
2381,312,486,V,F,2020-08-08,2381
2382,373,308,A,A,2019-07-19,2382
2383,382,335,A,P,2022-03-06,2383
2384,322,253,V,R,2019-06-19,2384
2385,450,390,V,F,2024-05-08,2385
2386,376,369,A,R,2021-08-14,2386
2387,355,135,A,P,2019-02-08,2387
2388,544,142,V,A,2023-05-16,2388
2389,388,342,A,P,2019-09-19,2389
2390,475,248,V,A,2023-08-13,2390
2391,568,156,A,R,2022-01-09,2391
2392,293,114,A,A,2020-09-28,2392
2393,395,213,A,A,2019-09-19,2393
2394,6,100,V,A,2022-12-11,2394
2395,204,415,A,F,2022-09-19,2395
2396,38,113,V,P,2020-05-22,2396
2397,436,9,V,R,2019-02-01,2397
2398,218,98,V,R,2022-08-21,2398
2399,566,83,V,A,2023-03-12,2399
2400,324,193,A,P,2023-02-20,2400
2401,263,82,V,A,2020-06-11,2401
2402,97,224,A,F,2020-06-24,2402
2403,553,218,V,F,2020-03-19,2403
2404,172,153,A,P,2021-12-30,2404
2405,296,180,A,R,2023-10-15,2405
2406,246,68,A,P,2019-01-19,2406
2407,162,111,A,A,2023-02-07,2407
2408,321,28,V,R,2021-02-14,2408
2409,116,347,A,R,2023-03-09,2409
2410,477,360,V,A,2019-06-27,2410
2411,447,283,A,P,2021-02-25,2411
2412,489,154,V,F,2022-05-08,2412
2413,115,25,V,P,2021-04-27,2413
2414,580,469,V,A,2023-06-10,2414
2415,467,295,A,P,2019-11-16,2415
2416,482,386,A,F,2019-02-05,2416
2417,390,333,V,A,2022-08-06,2417
2418,565,55,A,P,2021-02-19,2418
2419,592,257,A,F,2019-08-28,2419
2420,178,335,A,R,2023-11-07,2420
2421,232,19,V,F,2021-10-04,2421
2422,163,472,A,A,2022-05-13,2422
2423,280,147,A,P,2019-06-11,2423
2424,450,135,A,F,2022-02-26,2424
2425,284,356,V,P,2019-12-22,2425
2426,187,191,V,A,2020-09-15,2426
2427,594,382,A,F,2020-07-31,2427
2428,297,290,V,F,2019-07-19,2428
2429,259,427,A,A,2023-09-21,2429
2430,103,469,A,A,2020-02-03,2430
2431,423,362,V,P,2020-03-16,2431
2432,566,500,V,P,2021-01-17,2432
2433,405,372,V,P,2022-07-01,2433
2434,154,146,V,P,2023-11-10,2434
2435,552,120,A,F,2024-05-01,2435
2436,584,267,V,F,2021-05-13,2436
2437,254,258,V,F,2021-09-01,2437
2438,515,251,A,P,2023-03-23,2438
2439,54,286,V,F,2023-10-30,2439
2440,364,468,A,F,2019-06-03,2440
2441,434,458,A,F,2019-10-28,2441
2442,165,206,A,P,2024-05-26,2442
2443,397,462,A,A,2023-09-06,2443
2444,336,256,A,R,2021-05-31,2444
2445,70,135,A,F,2021-05-21,2445
2446,102,446,V,A,2020-05-10,2446
2447,290,80,A,R,2021-12-20,2447
2448,280,335,V,R,2020-09-16,2448
2449,134,403,V,R,2023-02-03,2449
2450,10,42,V,R,2022-02-24,2450
2451,52,190,V,A,2021-01-05,2451
2452,293,195,A,A,2020-01-04,2452
2453,344,45,A,F,2021-12-30,2453
2454,125,368,V,P,2023-04-20,2454
2455,562,95,V,R,2020-05-21,2455
2456,67,470,A,P,2022-05-03,2456
2457,494,494,V,P,2022-03-13,2457
2458,415,394,A,F,2019-07-18,2458
2459,556,27,V,R,2022-06-26,2459
2460,395,285,V,R,2023-07-06,2460
2461,422,81,A,F,2022-03-13,2461
2462,6,447,V,A,2022-08-12,2462
2463,219,117,A,R,2022-03-17,2463
2464,433,439,V,R,2020-12-19,2464
2465,191,60,V,R,2021-11-21,2465
2466,206,239,V,F,2020-05-28,2466
2467,563,296,A,F,2019-03-01,2467
2468,579,233,V,F,2022-02-24,2468
2469,305,272,A,F,2021-04-10,2469
2470,530,24,A,P,2022-02-25,2470
2471,105,429,V,P,2022-10-23,2471
2472,536,206,V,F,2023-07-30,2472
2473,158,391,V,R,2023-10-31,2473
2474,280,289,A,P,2021-11-21,2474
2475,546,8,V,R,2022-09-23,2475
2476,255,469,A,F,2024-02-25,2476
2477,600,204,V,A,2020-07-12,2477
2478,124,461,V,A,2020-03-17,2478
2479,127,372,V,F,2019-09-22,2479
2480,184,418,V,A,2020-10-11,2480
2481,493,278,A,F,2020-01-14,2481
2482,576,222,V,A,2020-09-20,2482
2483,316,158,V,A,2021-12-09,2483
2484,537,220,V,P,2021-03-26,2484
2485,116,311,A,A,2019-07-25,2485
2486,151,198,V,F,2019-07-23,2486
2487,410,376,A,F,2024-02-19,2487
2488,477,311,V,A,2022-09-08,2488
2489,120,401,A,P,2019-08-09,2489
2490,33,71,A,R,2022-01-27,2490
2491,366,205,V,F,2023-07-17,2491
2492,187,439,V,R,2023-05-05,2492
2493,387,155,V,R,2020-09-04,2493
2494,125,482,A,P,2022-06-01,2494
2495,200,229,A,F,2020-03-27,2495
2496,567,181,A,A,2023-04-05,2496
2497,550,302,A,R,2021-10-05,2497
2498,450,169,V,A,2023-09-13,2498
2499,65,273,A,P,2022-10-09,2499
2500,436,269,V,A,2020-01-24,2500
2501,198,436,V,A,2021-11-26,2501
2502,12,211,A,F,2020-04-06,2502
2503,365,284,A,A,2022-09-14,2503
2504,357,120,A,A,2020-10-25,2504
2505,177,57,A,F,2022-06-29,2505
2506,504,122,V,F,2020-12-16,2506
2507,10,359,A,R,2021-09-11,2507
2508,506,423,A,P,2019-06-06,2508
2509,555,295,A,R,2019-10-05,2509
2510,179,242,V,R,2023-01-29,2510
2511,469,420,A,F,2020-11-05,2511
2512,251,192,A,A,2022-06-03,2512
2513,565,449,V,P,2024-04-11,2513
2514,7,327,A,F,2022-09-15,2514
2515,268,92,V,A,2022-10-02,2515
2516,266,379,A,A,2022-12-10,2516
2517,201,65,A,R,2023-04-08,2517
2518,121,160,A,F,2022-12-16,2518
2519,146,444,V,F,2021-09-01,2519
2520,31,382,A,R,2022-12-19,2520
2521,360,237,V,R,2020-04-18,2521
2522,254,199,V,A,2021-08-29,2522
2523,406,423,V,A,2020-12-07,2523
2524,1,222,V,P,2021-12-19,2524
2525,599,189,V,P,2022-02-02,2525
2526,450,227,A,A,2023-11-12,2526
2527,309,444,A,R,2023-12-06,2527
2528,476,207,A,F,2020-02-19,2528
2529,49,66,V,R,2023-06-13,2529
2530,298,334,V,P,2022-12-20,2530
2531,154,344,V,A,2022-12-13,2531
2532,152,343,A,P,2021-10-08,2532
2533,60,398,V,F,2024-03-01,2533
2534,262,450,A,R,2019-05-01,2534
2535,39,443,A,R,2021-09-11,2535
2536,524,235,A,P,2021-07-09,2536
2537,110,425,V,A,2022-01-04,2537
2538,331,165,A,R,2019-01-22,2538
2539,333,43,V,R,2021-01-01,2539
2540,556,42,V,A,2022-12-04,2540
2541,500,277,V,A,2022-08-09,2541
2542,225,143,V,R,2022-11-21,2542
2543,53,438,A,F,2022-07-14,2543
2544,417,230,A,F,2024-02-09,2544
2545,125,238,V,P,2019-09-16,2545
2546,470,498,V,P,2021-07-22,2546
2547,54,470,V,A,2022-06-25,2547
2548,561,309,V,A,2022-10-10,2548
2549,295,140,A,A,2019-08-13,2549
2550,611,411,V,F,2021-05-17,2550
2551,336,204,V,A,2019-01-31,2551
2552,219,119,A,A,2022-11-23,2552
2553,408,53,V,A,2021-11-27,2553
2554,483,151,A,R,2020-03-09,2554
2555,521,377,V,A,2019-06-27,2555
2556,442,315,V,R,2021-08-24,2556
2557,236,170,V,R,2020-05-20,2557
2558,461,268,A,F,2022-08-04,2558
2559,427,203,A,P,2022-07-07,2559
2560,183,495,V,F,2021-04-01,2560
2561,241,88,V,R,2019-12-31,2561
2562,186,361,V,A,2020-11-16,2562
2563,248,277,V,F,2023-07-23,2563
2564,481,225,V,P,2020-04-22,2564
2565,131,23,V,P,2023-07-12,2565
2566,219,54,A,P,2021-03-03,2566
2567,535,369,V,A,2023-12-14,2567
2568,524,281,V,A,2021-07-01,2568
2569,186,303,V,A,2022-08-29,2569
2570,480,491,A,A,2021-01-03,2570
2571,376,186,V,F,2022-02-17,2571
2572,469,163,V,F,2019-09-16,2572
2573,567,87,A,R,2020-01-24,2573
2574,379,445,A,A,2021-07-02,2574
2575,343,110,A,A,2023-12-09,2575
2576,565,430,V,F,2020-05-07,2576
2577,510,104,A,P,2021-09-20,2577
2578,193,309,V,A,2019-02-01,2578
2579,121,249,V,A,2024-01-23,2579
2580,86,303,A,R,2021-05-07,2580
2581,556,259,A,A,2023-01-03,2581
2582,548,68,A,R,2020-04-19,2582
2583,269,164,A,R,2023-06-29,2583
2584,237,52,A,R,2022-01-01,2584
2585,25,384,V,F,2022-02-16,2585
2586,27,335,V,F,2019-03-10,2586
2587,473,412,V,A,2020-05-02,2587
2588,380,78,V,A,2023-09-21,2588
2589,540,260,A,F,2022-10-06,2589
2590,436,287,V,P,2023-08-05,2590
2591,462,180,V,F,2021-04-12,2591
2592,304,292,A,F,2021-02-07,2592
2593,365,15,A,P,2019-12-03,2593
2594,524,178,A,A,2021-04-20,2594
2595,116,157,A,R,2020-06-21,2595
2596,600,36,A,P,2022-06-22,2596
2597,231,170,V,R,2022-03-03,2597
2598,609,278,A,P,2019-02-27,2598
2599,43,174,V,F,2020-02-29,2599
2600,420,91,V,A,2020-06-28,2600
2601,503,297,V,P,2022-02-26,2601
2602,88,379,V,P,2023-09-13,2602
2603,135,323,V,R,2020-12-24,2603
2604,96,94,V,P,2022-12-14,2604
2605,312,204,V,F,2019-03-27,2605
2606,252,303,V,F,2019-09-15,2606
2607,134,105,A,F,2022-07-10,2607
2608,284,63,V,A,2019-09-28,2608
2609,276,354,V,R,2019-02-05,2609
2610,86,238,V,R,2024-03-25,2610
2611,359,316,A,P,2019-02-14,2611
2612,273,16,V,R,2019-05-26,2612
2613,209,94,V,A,2019-01-27,2613
2614,26,15,V,F,2020-07-04,2614
2615,348,476,A,A,2022-04-19,2615
2616,61,426,A,F,2020-07-21,2616
2617,513,297,A,F,2022-10-04,2617
2618,185,26,A,A,2022-01-28,2618
2619,93,103,A,R,2020-01-19,2619
2620,121,49,A,F,2021-08-05,2620
2621,414,219,A,R,2020-06-23,2621
2622,538,97,V,F,2024-01-12,2622
2623,575,474,A,A,2019-12-01,2623
2624,512,186,A,P,2023-11-18,2624
2625,266,226,V,P,2021-12-15,2625
2626,220,185,A,F,2020-04-30,2626
2627,592,372,V,F,2024-01-17,2627
2628,142,101,A,A,2024-02-15,2628
2629,406,192,A,R,2023-06-03,2629
2630,84,136,A,P,2020-05-07,2630
2631,224,273,A,F,2019-04-05,2631
2632,202,384,A,F,2022-02-18,2632
2633,616,54,V,P,2024-02-18,2633
2634,528,396,V,P,2022-04-28,2634
2635,289,419,V,F,2024-04-26,2635
2636,417,493,V,A,2019-02-22,2636
2637,291,448,V,R,2019-10-30,2637
2638,426,422,A,R,2022-10-10,2638
2639,534,290,V,A,2019-12-15,2639
2640,62,304,V,F,2023-07-02,2640
2641,542,253,A,F,2024-03-23,2641
2642,480,121,V,R,2022-06-06,2642
2643,404,222,V,P,2020-11-04,2643
2644,318,443,A,P,2021-04-07,2644
2645,242,176,A,F,2024-01-02,2645
2646,176,359,A,P,2023-06-21,2646
2647,249,191,V,R,2020-10-01,2647
2648,377,213,V,R,2021-08-08,2648
2649,570,238,A,P,2021-12-18,2649
2650,371,495,V,A,2021-04-10,2650
2651,611,193,A,R,2024-05-19,2651
2652,177,301,A,F,2020-02-04,2652
2653,571,491,A,P,2023-06-23,2653
2654,107,468,A,P,2023-11-17,2654
2655,405,372,V,R,2020-03-18,2655
2656,284,296,V,P,2021-03-20,2656
2657,573,425,V,P,2022-10-22,2657
2658,377,260,V,R,2021-01-07,2658
2659,100,445,A,R,2021-09-18,2659
2660,152,103,V,P,2021-07-11,2660
2661,413,398,V,F,2021-03-18,2661
2662,1,135,A,F,2019-11-11,2662
2663,563,242,A,F,2019-10-04,2663
2664,583,384,A,A,2020-06-02,2664
2665,76,444,V,R,2023-06-26,2665
2666,350,446,A,A,2023-02-07,2666
2667,94,90,A,A,2019-08-26,2667
2668,80,34,A,A,2019-08-10,2668
2669,146,434,A,P,2021-07-27,2669
2670,256,286,V,P,2019-02-10,2670
2671,186,468,A,A,2022-04-09,2671
2672,106,23,V,A,2020-01-13,2672
2673,571,75,V,F,2024-03-04,2673
2674,196,426,V,A,2020-10-28,2674
2675,332,152,A,A,2021-06-04,2675
2676,13,382,A,A,2020-02-06,2676
2677,441,149,V,R,2021-07-19,2677
2678,416,290,A,F,2019-11-28,2678
2679,312,86,V,P,2020-07-27,2679
2680,179,431,V,R,2022-11-09,2680
2681,80,490,V,A,2021-12-16,2681
2682,362,24,V,F,2022-03-30,2682
2683,387,162,A,P,2021-01-17,2683
2684,552,69,A,R,2022-08-13,2684
2685,428,160,A,A,2020-01-17,2685
2686,400,124,A,F,2020-01-07,2686
2687,101,320,V,F,2020-02-01,2687
2688,470,171,V,P,2019-03-02,2688
2689,545,398,A,R,2020-03-25,2689
2690,75,1,V,P,2024-04-01,2690
2691,376,254,V,F,2022-12-01,2691
2692,365,254,A,F,2021-08-10,2692
2693,338,194,A,F,2019-11-04,2693
2694,32,231,V,F,2022-01-04,2694
2695,289,33,V,A,2021-03-11,2695
2696,480,466,A,P,2022-05-16,2696
2697,1,288,A,R,2023-02-21,2697
2698,114,227,V,R,2021-06-19,2698
2699,211,80,V,R,2023-08-12,2699
2700,211,468,A,R,2022-06-07,2700
2701,580,459,A,P,2021-04-10,2701
2702,590,307,V,F,2019-09-17,2702
2703,613,81,V,P,2020-08-21,2703
2704,97,388,A,R,2022-08-02,2704
2705,47,384,A,R,2019-08-31,2705
2706,257,465,V,A,2019-05-09,2706
2707,384,488,V,R,2021-03-24,2707
2708,212,448,V,A,2022-08-13,2708
2709,61,364,A,R,2020-07-28,2709
2710,509,408,A,A,2023-02-08,2710
2711,273,185,V,F,2019-02-13,2711
2712,137,306,V,A,2024-04-28,2712
2713,27,464,A,A,2020-08-18,2713
2714,471,419,V,P,2024-04-13,2714
2715,339,158,V,F,2021-08-26,2715
2716,555,86,V,R,2019-08-22,2716
2717,184,343,A,F,2024-01-18,2717
2718,471,335,V,R,2021-03-24,2718
2719,80,140,A,P,2024-03-28,2719
2720,589,194,A,P,2023-01-10,2720
2721,554,407,A,R,2021-10-02,2721
2722,407,486,V,A,2019-08-13,2722
2723,327,342,V,F,2023-07-02,2723
2724,372,464,V,A,2024-05-01,2724
2725,463,128,A,P,2021-11-01,2725
2726,482,257,A,A,2022-01-22,2726
2727,56,43,V,R,2021-04-25,2727
2728,225,52,V,R,2022-05-25,2728
2729,427,399,V,A,2024-03-04,2729
2730,215,3,A,P,2022-01-28,2730
2731,263,242,V,A,2019-11-28,2731
2732,595,391,A,P,2021-11-24,2732
2733,32,41,V,F,2020-01-19,2733
2734,294,53,A,P,2023-05-02,2734
2735,11,43,V,F,2019-05-01,2735
2736,419,119,V,P,2021-01-16,2736
2737,18,392,A,F,2023-09-04,2737
2738,312,355,A,P,2021-09-13,2738
